SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
Western Australia,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify):,water abstraction for stock ,Water abstraction (specify):,water abstraction for stock,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,Groundwater drawdown associated with dewatering for mining,Mining ,Groundwater drawdown associated with dewatering for mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liason with pastoral lease holders and proponents,,,,,,,,
MUR02,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,"Unique assemblages of invertebrates have been identified in the groundwater calcretes,threatened by mining, found in Murchison the region.",1,1 (potentially meets location criteria CR),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,JM: mapped/defined since 2002,N/A,N/A,-,N/A,,5063,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Quantitative unpublished data and expert opinion,EMB: windmill and bore,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Quantitative unpublished data and expert opinion,EMB: windmill and bore,Stygofauna,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ",MUR02,"Pastoral lease, Other public lands - roads and water bodies",,,Meeberrie Pastoral Lease,Pastoralism (specify),water abstraction for stock,Pastoralism (specify),water abstraction for stock,,,,,HD i) Develop hydrological model to forecast effect on biodiversity under different water use allocations,Determine impacts of dewatering on assemblage,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI ix) Regulation - Water allocation,,,,EMB: development status unknown,,,,,
MUR02,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify):,water abstraction for stock ,Water abstraction (specify):,water abstraction for stock,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
MUR02,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,Groundwater drawdown associated with dewatering for mining,Mining ,Groundwater drawdown associated with dewatering for mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
MUR02,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
MUR02,Midwest,Meeberrie calcrete groundwater assemblage type on Murchison palaeodrainage on Meeberrie Station,Meeberrie Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liason with pastoral lease holders and proponents,,,,,,,,
Western Australia,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,"Unique assemblages of invertebrates have been identified in the groundwater calcretes,threatened by mining, found in the Murchison region.",1,1 (potentially meets location criteria CR),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,JM: mapped/defined since 2002,N/A,N/A,-,N/A,,6253,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Quantitative unpublished data and expert opinion,EMB: multiple bores and windmills,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Quantitative unpublished data and expert opinion,EMB: multiple bores and windmills,Stygofauna,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ",MUR02,Pastoral lease,,,Meka Pastoral Lease,Pastoralism (specify),water abstraction for stock,Pastoralism (specify),water abstraction for stock,,,,,HD i) Develop hydrological model to forecast effect on biodiversity under different water use allocations,Determine impacts of dewatering on assemblage,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI ix) Regulation - Water allocation,,,,EMB: development status unknown,,,,,
Western Australia,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify):,water abstraction for stock ,Water abstraction (specify):,water abstraction for stock,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,Groundwater drawdown associated with dewatering for mining,Mining ,Groundwater drawdown associated with dewatering for mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liason with pastoral lease holders and proponents,,,,,,,,
MUR02,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,"Unique assemblages of invertebrates have been identified in the groundwater calcretes,threatened by mining, found in the Murchison region.",1,1 (potentially meets location criteria CR),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,JM: mapped/defined since 2002,N/A,N/A,-,N/A,,6253,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Quantitative unpublished data and expert opinion,EMB: multiple bores and windmills,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Quantitative unpublished data and expert opinion,EMB: multiple bores and windmills,Stygofauna,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ",MUR02,Pastoral lease,,,Meka Pastoral Lease,Pastoralism (specify),water abstraction for stock,Pastoralism (specify),water abstraction for stock,,,,,HD i) Develop hydrological model to forecast effect on biodiversity under different water use allocations,Determine impacts of dewatering on assemblage,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI ix) Regulation - Water allocation,,,,EMB: development status unknown,,,,,
MUR02,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify):,water abstraction for stock ,Water abstraction (specify):,water abstraction for stock,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
MUR02,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,Groundwater drawdown associated with dewatering for mining,Mining ,Groundwater drawdown associated with dewatering for mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
MUR02,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
MUR02,Midwest,Meka calcrete groundwater assemblage type on Murchison palaeodrainage on Meka Station,Meka Calcrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liason with pastoral lease holders and proponents,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,"Roebourne Plains coastal grasslands with gilgai micro-relief occurs on deep clays that are self mulching cracking clays that emerge on depositional surfaces. These gilgai cracking clay plains support mostly annual tussock grasses (Sorghum sp.) and ephemeral herbs dominated by Papilionaceae (Desmodium spp. and Glycine sp.). The Roebourne Plains are somewhat saline and have two components: heavy gilgai (cracking clay); and light clay plains. 

The community extends west from the Cape Preston Hills, running along the northern side of North West Coastal Highway to the mouth of Whim Creek at Balla Balla in the east. It extends inland towards Pyramid Hills, but not beyond the hills. The community has been a focus for grazing, and has been severely degraded by past land practices including heavy grazing, and development for mining and associated infrastructure. The gilgai depressions support ephemeral and perennial tussock grasslands dominated by Sorghum sp. and Eragrostis xerophila (Roebourne Plains grass) along with other native species including Astrebla pectinata (barley mitchell grass), Eriachne benthamii (swamp wanderrie grass), Chrysopogon fallax (golden beard grass) and Panicum decompositum (native millet). It differs from the surrounding clay flats of the Horseflat land system which are dominated by Eragrostis xerophila and other perennial tussock (Eragrostis mostly) grass species. It differs from other cracking clay communities in respect to the representation of tussock grasses in nearby Chichester and Mungaroona Ranges. These appear higher in the landscape, and are sometimes perched on hill tops and plateaus. The Roebourne Plains gilgai grasslands also differs markedly from the West Angelas Cracking Clays that consist of ephemeral tussock and annual grasses on cracking-clay loam depressions and flow lines derived from basalts (Jerrinah Formation).",24,Greater than 20 (does not meet IUCN location criteria),Quantitative unpublished data and expert opinion,Decreased (new knowledge - biological survey),Expert opinion,"JM: this info from workshop, loss due to better mapping. But offset by mapping since 2002?",28231,"< 100,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Decreased (new knowledge - biological survey),,8589,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Decreased (new knowledge - biological survey),,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),,"Pilbara workshop advised extent = 80%, severity = 60%",Vascular plants,,,None,Priority 1,,,,,2008,,Notes from workshop: small number of occurrences mostly been extensively modified and fragmented no occurrence within secure tenure,Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,none,,,"Current PEC, likely increase to threatened category",IN vi) Occurrences and boundaries of ecological communities,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD vi) Habitat restoration (specify),fencing to exclude stock,MI i) Habitat protection through formal conservation reservation (specify),change tenure of Cadjuput occurrence to be included in Karratha Station aquisition,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: BRM added as a result of the management action to close borrow pits,Mining ,basic raw materials,Mining ,basic raw materials,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,MD xii) Manage access,close borrow pits,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes from workshop: Boundaries determined using a combination of Department of Agriculture Land systems mapping, Beard vegetation mapping, aerial photography and advice from regional experts.",Pastoralism (specify),historical grazing by stock,Pastoralism (specify),historical grazing by stock,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for infrastructure,Urban development ,clearing for infrastructure,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial development,,Industrial development,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial development,Best condition occurrence identified to be impacted by proposed power station,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIL01,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,"Roebourne Plains coastal grasslands with gilgai micro-relief occurs on deep clays that are self mulching cracking clays that emerge on depositional surfaces. These gilgai cracking clay plains support mostly annual tussock grasses (Sorghum sp.) and ephemeral herbs dominated by Papilionaceae (Desmodium spp. and Glycine sp.). The Roebourne Plains are somewhat saline and have two components: heavy gilgai (cracking clay); and light clay plains. 

The community extends west from the Cape Preston Hills, running along the northern side of North West Coastal Highway to the mouth of Whim Creek at Balla Balla in the east. It extends inland towards Pyramid Hills, but not beyond the hills. The community has been a focus for grazing, and has been severely degraded by past land practices including heavy grazing, and development for mining and associated infrastructure. The gilgai depressions support ephemeral and perennial tussock grasslands dominated by Sorghum sp. and Eragrostis xerophila (Roebourne Plains grass) along with other native species including Astrebla pectinata (barley mitchell grass), Eriachne benthamii (swamp wanderrie grass), Chrysopogon fallax (golden beard grass) and Panicum decompositum (native millet). It differs from the surrounding clay flats of the Horseflat land system which are dominated by Eragrostis xerophila and other perennial tussock (Eragrostis mostly) grass species. It differs from other cracking clay communities in respect to the representation of tussock grasses in nearby Chichester and Mungaroona Ranges. These appear higher in the landscape, and are sometimes perched on hill tops and plateaus. The Roebourne Plains gilgai grasslands also differs markedly from the West Angelas Cracking Clays that consist of ephemeral tussock and annual grasses on cracking-clay loam depressions and flow lines derived from basalts (Jerrinah Formation).",5,Refer to State level,Quantitative unpublished data and expert opinion,Decreased (new knowledge - biological survey),Expert opinion,"JM: this info from workshop, loss due to better mapping. But offset by mapping since 2002?",refer to State level,N/A,,,,1841,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Decreased (new knowledge - biological survey),,Unknown,Improving condition (recovery actions > pressures),Unknown,Unknown,Expert opinion,JM: removal of grazing pressure?,Unknown,Improving condition (recovery actions > pressures),Unknown,Unknown,Expert opinion,JM: removal of grazing pressure?,Vascular plants,,,None,Priority 1,,,,,2008,,Notes from workshop: small number of occurrences mostly been extensively modified and fragmented no occurrence within secure tenure,Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,none,,,,IN vi) Occurrences and boundaries of ecological communities,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD vi) Habitat restoration (specify),fencing to exclude stock,MI i) Habitat protection through formal conservation reservation (specify),change tenure of Cadjuput occurrence to be included in Karratha Station aquisition,,,,,,,,
PIL01,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: BRM added as a result of the management action to close borrow pits,Mining ,basic raw materials,Mining ,basic raw materials,,,,,,,,,,,MD xii) Manage access,close borrow pits,MI xi) Regulation - environmental impact assessment,,,,,,,,,
PIL01,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes from workshop: Boundaries determined using a combination of Department of Agriculture Land systems mapping, Beard vegetation mapping, aerial photography and advice from regional experts.",,,Industrial development,Best condition occurrence identified to be impacted by proposed power station,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
PIL01,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
PIL01,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
PIL01,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
PIL04,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,"Roebourne Plains coastal grasslands with gilgai micro-relief occurs on deep clays that are self mulching cracking clays that emerge on depositional surfaces. These gilgai cracking clay plains support mostly annual tussock grasses (Sorghum sp.) and ephemeral herbs dominated by Papilionaceae (Desmodium spp. and Glycine sp.). The Roebourne Plains are somewhat saline and have two components: heavy gilgai (cracking clay); and light clay plains. 

The community extends west from the Cape Preston Hills, running along the northern side of North West Coastal Highway to the mouth of Whim Creek at Balla Balla in the east. It extends inland towards Pyramid Hills, but not beyond the hills. The community has been a focus for grazing, and has been severely degraded by past land practices including heavy grazing, and development for mining and associated infrastructure. The gilgai depressions support ephemeral and perennial tussock grasslands dominated by Sorghum sp. and Eragrostis xerophila (Roebourne Plains grass) along with other native species including Astrebla pectinata (barley mitchell grass), Eriachne benthamii (swamp wanderrie grass), Chrysopogon fallax (golden beard grass) and Panicum decompositum (native millet). It differs from the surrounding clay flats of the Horseflat land system which are dominated by Eragrostis xerophila and other perennial tussock (Eragrostis mostly) grass species. It differs from other cracking clay communities in respect to the representation of tussock grasses in nearby Chichester and Mungaroona Ranges. These appear higher in the landscape, and are sometimes perched on hill tops and plateaus. The Roebourne Plains gilgai grasslands also differs markedly from the West Angelas Cracking Clays that consist of ephemeral tussock and annual grasses on cracking-clay loam depressions and flow lines derived from basalts (Jerrinah Formation).",19,Refer to State level,Quantitative unpublished data and expert opinion,Decreased (new knowledge - biological survey),Expert opinion,"JM: this info from workshop, loss due to better mapping. But offset by mapping since 2002?",refer to State level,N/A,,,,6748,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Decreased (new knowledge - biological survey),,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),,"Pilbara workshop advised extent = 80%, severity = 60%",Vascular plants,,,,,,,,,2008,,Notes from workshop: small number of occurrences mostly been extensively modified and fragmented no occurrence within secure tenure,Pastoralism (specify),historical grazing by stock,Pastoralism (specify),historical grazing by stock,none,,,,IN vi) Occurrences and boundaries of ecological communities,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
PIL04,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: BRM added as a result of the management action to close borrow pits,Urban development ,clearing for infrastructure,Urban development ,clearing for infrastructure,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
PIL04,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes from workshop: Boundaries determined using a combination of Department of Agriculture Land systems mapping, Beard vegetation mapping, aerial photography and advice from regional experts.",Industrial development,,Industrial development,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
PIL04,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
PIL04,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
PIL04,Pilbara,Roebourne Plains coastal grasslands with gilgai microrelief on deep cracking clays ,Roebourne Plains gilgai grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,"Described as saltbush community of the duplex plains - Mosquito Creek series (Nullagine). Known to contain two endemic Acacias. One occurrence known on stony plains, and one on rocky ground.
Threats: preferential grazing, prospecting and mining, Worsening condition erosion",8,Less than or equal to 10 (potentially meets location criteria VU),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey/mapping),Quantitative analysis of data not publically available,JM: mapped/defined since 2002,524500,"< 1,000,000ha (potentially meets extent of occurrence criteria for EN) ",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,183996,"< 200,000ha (potentially meets area of occupancy criteria for EN)",Sum of mapped polygons,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,Unknown,Unknown,Unknown,Unknown,-,,Unknown,Unknown,Unknown,Unknown,-,,Vascular plants,,,None,Priority 3,,,,,,2013,PEC boundary crosses covers PIL01 and PIL02 but very small area in PIL02. ,Mining ,,Mining ,,none,,,,IN vi) Occurrences and boundaries of ecological communities,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP i) Threatened taxa recovery plan (specify),Acacia spp. endemic to community requires IRP,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
